Наименование;Полное наименование;Юридический адрес;Кор. Счёт;БИК;ИНН;КПП;Телефон
ПАО АК БАРС БАНК;Публичное акционерное общество АК БАРС БАНК;420066, Республика Татарстан, город Казань, улица Декабристов, 1;3,010181E+019;49205805;1653001805;165601001;+7(843)-519-39-39
ООО СЕТЕЛЕМ БАНК;Общество с ограниченной ответственностью СЕТЕЛЕМ БАНК;125124, город Москва, улица Правды, дом 26;3,01018105E+019;44525811;6452010742;771401001;+7(495)-729-52-00
